Incumbent,Name,Office,Party,Percent,Won,Year,CF_ID,Self,Ind_DE,PAC,National_Sub_Committees,sub_100,Candidate_Committee,Individual,Contrib_Total,Candidate Expenses,Contributions,Field Expenses,Fund Raiser,Mail,Media,Printing and Campaign Materials,Rent and Other Office expenses,Salaries and Other compensation,smol,Expend_Total
0,LAURA BROWN,COUNTY COUNCIL DISTRICT 12 (N),R,35.5,0,2008,1002795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JAMES M. BAKER,MAYOR,D,100,1,2008,1000076,0,7100,0,0,2525,0,1800,11425,4284,450,230,3543.5,655.22,48403.25,8330.14,1803.23,5701,0,73400.34
0,NORMAN D. GRIFFITHS,PRESIDENT OF CITY COUNCIL,D,79.5,1,2008,1001526,0,4276,1000,0,2500,0,2000,9776,1260,0,0,567.68,0,33554.52,0,0,2100,0,37482.2
0,HERMAN M. HOLLOWAY JR,PRESIDENT OF CITY COUNCIL,R,20.5,0,2008,1001842,0,0,4550,0,100,0,0,4650,0,0,0,600,0,1750,800,0,1050,0,4200
1,HENRY W. SUPINSKI,CITY TREASURER,D,100,1,2008,1000079,0,975,0,0,300,150,250,1675,4193,430,1373.65,535,0,730,0,0,0,0,7261.65
0,JUSTEN WRIGHT,CITY COUNCIL AT LARGE,D,29.7,1,2008,1001758,0,0,0,0,0,0,0,0,0,0,1315.15,119.36,0,13628,1198.96,0,0,0,16261.47
0,JUSTEN WRIGHT,CITY COUNCIL AT LARGE,D,29.7,1,2008,1003590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,LORETTA WALSH,CITY COUNCIL AT LARGE,D,28.6,0,2008,1000455,1499.03,6760,4610.53,0,2924.65,0,1700,17494.21,996,2097.79,2030,1440.5,4375.22,5124.81,7859.29,0,0,0,23923.61
0,CHARLES M. FREEL,CITY COUNCIL AT LARGE,D,27.2,0,2008,1000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CHARLES M. FREEL,CITY COUNCIL AT LARGE,D,27.2,0,2008,1001397,0,2550,0,0,0,0,600,3150,0,1000,2871,593.5,2554.15,3564,150,0,0,0,10732.65
0,MICHAEL A. BROWN,CITY COUNCIL AT LARGE,R,8.8,0,2008,1001786,0,5150,900,0,1100,600,0,7750,0,498,87.68,4696,0,6222.4,1058.12,20,0,0,12582.2
0,PAUL DEGNARS,CITY COUNCIL AT LARGE,R,5.7,0,2008,1001749,0,0,2100,0,600,0,0,2700,0,0,174,0,0,0,1700.32,0,0,0,1874.32
1,CHARLES POTTER JR,CITY COUNCIL DISTRICT 1,D,100,1,2008,1000168,2500,350,0,0,0,0,0,2850,996,0,200,1686.06,0,26063.7,3652,0,0,0,32597.76
1,CHARLES POTTER JR,CITY COUNCIL DISTRICT 1,D,100,1,2008,1002568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ERNEST M. CONGO II,CITY COUNCIL DISTRICT 2,D,100,1,2008,1001820,0,1200,2000,0,1250,0,500,4950,996,0,500,0,0,13175,0,0,624,0,15295
1,STEPHANIE T. BOLDEN,CITY COUNCIL DISTRICT 3,D,92.1,1,2008,1000078,0,2778,1986,0,300,0,0,5064,3425.31,0,274.5,418.6,345.5,5482.01,100,1478.91,950,0,12474.83
0,SHIRLEY H. BROWN,CITY COUNCIL DISTRICT 3,O,7.9,0,2008,1001747,0,2700,2400,0,200,0,0,5300,0,0,0,0,0,2550,1800,0,0,0,4350
1,HANIFA SHABAZZ,CITY COUNCIL DISTRICT 4,D,100,1,2008,1000453,0,1850,0,0,300,0,0,2150,996,275,775,2508.43,168.6,6495.6,1425.95,329.96,3679.82,0,16654.36
1,HANIFA SHABAZZ,CITY COUNCIL DISTRICT 4,D,100,1,2008,1003525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SAMUEL PRADO,CITY COUNCIL DISTRICT 5,D,100,1,2008,1000337,0,600,650,0,0,300,1000,2550,2316,0,125,1407,142,400,0,270,0,0,4660
1,KEVIN F. KELLEY,CITY COUNCIL DISTRICT 6,D,100,1,2008,1002544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PAUL F. IGNUDO JR.,CITY COUNCIL DISTRICT 7,D,100,1,2008,1000381,0,2900,360.76,0,1040,300,0,4600.76,0,1356.76,0,775,0,0,1385,0,0,0,3516.76
0,STEPHEN L. MARTELLI,CITY COUNCIL DISTRICT 8,D,100,1,2008,1001748,0,1850,600,0,0,0,0,2450,0,400,0,2850,1881,1570,5921,0,0,0,12622
1,P. BROOKS BANTA,1ST LEVY COURT DISTRICT (K),D,100,1,2008,1000090,0,6850,0,0,500,0,2400,9750,1049,1000,120,1370,508,4446.13,16.99,0,0,0,8510.12
1,ALLAN F. ANGEL,3RD LEVY COURT DISTRICT (K),D,68.3,1,2008,1000364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,DAVID LEVI ANDERSON,3RD LEVY COURT DISTRICT (K),R,31.7,0,2008,1001284,0,600,1550,0,100,600,0,2850,175,950,0,0,2000,3025,550,0,0,0,6700
0,GEORGE SWEENEY,5TH LEVY COURT DISTRICT (K),D,58.7,1,2008,1001522,1049,3864.5,1700,0,1512.96,250,762,9138.46,1049,758.96,300,1160,0,5546.33,1447.86,0,0,0,10262.15
1,THOMAS E. WEYANT,REGISTER OF WILLS (K),D,60.3,1,2008,1001673,0,0,3166.02,0,600,0,0,3766.02,0,0,0,0,31.27,3162.28,0,0,0,0,3193.55
0,JOHN J. FRIEDMAN,REGISTER OF WILLS (K),R,39.7,0,2008,1001865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MICHAEL H. VINCENT,COUNTY COUNCIL DISTRICT 1 (X),R,100,1,2008,1001761,0,7650,0,0,0,0,0,7650,0,0,1975.25,300.58,0,4734.36,0,0,0,0,7010.19
0,SAMUEL R. WILSON JR.,COUNTY COUNCIL DISTRICT 2 (X),R,56.4,1,2008,1001818,3000,1700,0,0,100,0,0,4800,0,0,0,1013,0,1384.5,2290,0,0,0,4687.5
0,MICHAEL R. WYATT,COUNTY COUNCIL DISTRICT 2 (X),D,43.6,0,2008,1001815,0,5995,2100,0,1400,1100,0,10595,0,0,418.25,166,0,13178.89,0,0,0,0,13763.14
0,JOAN R. DEAVER,COUNTY COUNCIL DISTRICT 3 (X),D,50.8,1,2008,1001797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,MARK W. BAKER,COUNTY COUNCIL DISTRICT 3 (X),R,49.2,0,2008,1001824,0,29800,45913.93,0,4425,250,0,80388.93,1013,1787.77,2000.4,145.42,11372,39314.57,33934.14,0,0,0,89567.3
0,CHRISTOPHER A. COONS,UNITED STATES SENATOR (CLASS 1),D,56.6,1,2010,1000437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,GLEN URQUHART,REPRESENTATIVE IN CONGRESS,R,41,0,2010,1002292,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
0,BRENT A. WANGEN,REPRESENTATIVE IN CONGRESS,O,0.6,0,2010,1002330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JEFFREY BROWN,REPRESENTATIVE IN CONGRESS,O,0.4,0,2010,1001851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JOSEPH R. BIDEN III,ATTORNEY GENERAL,D,78.9,1,2010,1001297,0,57075,4162.53,0,1887.3,250,79801,143175.83,72.28,16641.75,286237.31,21357.61,1271.43,101763.82,12674.43,27015.77,242288.23,0,709322.63
0,DOUG CAMPBELL,ATTORNEY GENERAL,O,21.1,0,2010,1002349,0,0,0,0,0,1200,0,1200,0,300,0,0,0,2022.03,0,0,0,0,2322.03
0,CHIP FLOWERS JR.,STATE TREASURER,D,51,1,2010,1002085,0,23716.13,280334.95,0,11328.38,1450,15970,332799.46,4292,0,825,7187.31,38857,115647.9,35179.16,4546,88045.34,0,294579.71
0,COLIN BONINI,STATE TREASURER,R,49,0,2010,1003502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,COLIN BONINI,STATE TREASURER,R,49,0,2010,1000023,0,2050,600,0,0,0,3750,6400,0,500,0,125,2813,236.14,0,0,0,0,3674.14
0,COLIN BONINI,STATE TREASURER,R,49,0,2010,1002090,0,15295,3050,0,1110,2300,250,22005,0,9871,7516.12,8703.58,15023.51,95237.98,5434.5,15871.31,43599.21,0,201257.21
1,R. THOMAS WAGNER JR.,AUDITOR OF ACCOUNTS,R,50.4,1,2010,1000007,0,1310,700,0,730,2200,0,4940,0,4108.6,0,2212.34,282.38,17716.64,763.94,0,0,0,25083.9
0,RICHARD KORN,AUDITOR OF ACCOUNTS,D,49.6,0,2010,1000452,50000,3800,13900,0,961,0,1634,70295,4108.6,0,2818.45,175.8,12140.32,20481.62,13132.04,0,2000,0,54856.83
1,HARRIS B. MCDOWELL III,STATE SENATOR DISTRICT 1,D,100,1,2010,1000009,0,4900,4975,0,-300,800,0,10375,531.1,0,833,1170,0,1685.23,3985,0,250,0,8454.33
1,CATHERINE CLOUTIER,STATE SENATOR DISTRICT 5,R,54.9,1,2010,1000123,0,1650,6700,0,100,0,0,8450,0,0,3834.19,553.53,5322.14,4266.83,13612.33,1000,3625,0,32214.02
0,CHRISTOPHER COUNIHAN,STATE SENATOR DISTRICT 5,D,45.1,0,2010,1002138,0,1800,7000.03,0,1111.74,900,0,10811.77,907.67,12,250,500,8312.66,12170.26,6621.5,0,200,0,28974.09
1,PATRICIA M. BLEVINS,STATE SENATOR DISTRICT 7,D,61,1,2010,1000014,0,5600,4675,0,650,1200,2200,14325,1467.48,1700,615,3960.75,4597,12262.9,30480,250,872,0,56205.13
0,FREDERICK R. CULLIS,STATE SENATOR DISTRICT 7,R,39,0,2010,1002281,0,0,8250,0,200,1050,1200,10700,833,665,1686,0,107.97,3393.98,18146.08,0,0,0,24832.03
1,DAVID P. SOKOLA,STATE SENATOR DISTRICT 8,D,60.6,1,2010,1000015,0,3000,9541.98,0,1434.98,2700,1450,18126.96,1348.8,1500,9965.5,20.49,2867.13,3023.13,652.02,0,0,0,19377.07
0,A. LOUIS SAINDON,STATE SENATOR DISTRICT 8,R,39.4,0,2010,1002303,0,2150,850,0,1800,1300,300,6400,0,0,0,41.13,1771.4,8325.86,815.14,184.2,0,0,11137.73
1,KAREN E. PETERSON,STATE SENATOR DISTRICT 9,D,71.5,1,2010,1000282,0,5700,4750,0,100,600,1150,12300,1831.58,250,0,1821.75,3623.92,2215,6887.52,0,0,0,16629.77
0,ROBERT S. JOHNSTON,STATE SENATOR DISTRICT 9,R,28.5,0,2010,1002328,0,300,0,0,0,600,0,900,833,0,0,0,502,1078.99,1068.94,0,0,0,3482.93
1,DORINDA CONNOR,STATE SENATOR DISTRICT 12,R,100,1,2010,1000019,0,2375,2800,0,375,0,0,5550,833,200,200,290.97,1507.15,2223.97,25864.62,948,3075,0,35142.71
1,DAVID B. MCBRIDE,STATE SENATOR DISTRICT 13,D,100,1,2010,1000020,0,1400,1129,0,200,0,300,3029,0,1583,833,4257.12,660,9010.73,1971.7,3845.91,0,0,22161.46
0,BRUCE C. ENNIS,STATE SENATOR DISTRICT 14,D,65.6,1,2010,1001605,0,3650,3120,0,600,3200,0,10570,11126.15,1500,5293.9,3657,7882.2,4163.1,26919.48,0,883.4,0,61425.23
0,JOHN A. MORITZ,STATE SENATOR DISTRICT 14,R,34.4,0,2010,1002288,0,400,0,0,0,600,0,1000,0,0,0,0,0,7726.45,0,0,0,0,7726.45
0,DAVE LAWSON,STATE SENATOR DISTRICT 15,R,52.3,1,2010,1002283,5000,8925,7950,0,1970,1400,600,25845,0,0,4750.76,4497.08,4682.62,23496.48,2970.38,605.7,900.5,0,41903.52
1,NANCY W. COOK,STATE SENATOR DISTRICT 15,D,47.7,0,2010,1000022,0,12625,5000,0,100,1800,3200,22725,0,300,300,1381.02,3725,8181.5,4215,0,0,0,18102.52
0,JOSEPH W. BOOTH,STATE SENATOR DISTRICT 19,R,100,1,2010,1002077,0,9500,2900,0,3000,1100,2650,19150,0,370,1586.29,7335.29,2674.03,24279.44,19720.9,665.76,1881.13,0,58512.84
0,JOSEPH W. BOOTH,STATE SENATOR DISTRICT 19,R,100,1,2010,1000279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GEORGE H. BUNTING JR.,STATE SENATOR DISTRICT 20,D,100,1,2010,1000027,0,300,10750,0,0,0,0,11050,0,0,600,0,0,5674.65,0,0,600,0,6874.65
1,DENNIS P. WILLIAMS,STATE REPRESENTATIVE DISTRICT 1,D,100,1,2010,1002576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,DENNIS P. WILLIAMS,STATE REPRESENTATIVE DISTRICT 1,D,100,1,2010,1000029,0,0,0,0,0,0,0,0,0,0,658.38,610,160,835,300,0,7025,0,9588.38
0,STEPHANIE T. BOLDEN,STATE REPRESENTATIVE DISTRICT 2,D,100,1,2010,1000078,0,900,11008.95,0,1456.17,700,850,14915.12,0,477.12,379,814.72,1611.6,5303.55,2245.44,0,0,0,10831.43
1,HELENE M. KEELEY,STATE REPRESENTATIVE DISTRICT 3,D,83.1,1,2010,1000033,0,9275,16300,0,3200,200,2900,31875,0,400,3683,6956.74,1547,18000.73,3552.04,632,1327.99,0,36099.5
0,ROBERT BOVELL,STATE REPRESENTATIVE DISTRICT 3,O,16.9,0,2010,1003194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,ROBERT BOVELL,STATE REPRESENTATIVE DISTRICT 3,O,16.9,0,2010,1000405,0,2780,18121.16,0,175,0,0,21076.16,0,0,0,943.07,0,19461.66,0,139.98,120,0,20664.71
1,GERALD L. BRADY,STATE REPRESENTATIVE DISTRICT 4,D,65.8,1,2010,1001020,0,5451,11275,0,0,3600,500,20826,3580,1033,2338.15,4581.12,4914.46,18363.28,3583,0,1094.84,0,39487.85
0,RICHARD CARROLL,STATE REPRESENTATIVE DISTRICT 4,R,34.2,0,2010,1002141,0,3250,1265.91,0,218.91,2300,600,7634.82,839,4523.42,54.03,3154.05,4166.17,12321.41,11768.03,0,0,0,36826.11
0,MELANIE GEORGE,STATE REPRESENTATIVE DISTRICT 5,D,100,1,2010,1000293,0,500,2000,0,0,0,0,2500,833,200,150.84,1194.68,2540.9,4862.46,3194.54,0,0,0,12976.42
0,DEBRA HEFFERNAN,STATE REPRESENTATIVE DISTRICT 6,D,51.9,1,2010,1002175,0,3550,8700,0,1300,4204.11,800,18554.11,0,0,140,929.03,1793.76,19420.81,6162.3,0,1100,0,29545.9
0,THOMAS H. KOVACH,STATE REPRESENTATIVE DISTRICT 6,R,46.9,0,2010,1001880,0,19550,600,0,4430,0,300,24880,833,877.45,4089.14,5357.02,3502.64,7182.64,13669.94,943.43,7,490,36952.26
0,MATTHEW JOHN FLEBBE,STATE REPRESENTATIVE DISTRICT 6,O,1.2,0,2010,1002255,0,0,0,0,0,0,0,0,0,0,0,0,0,183.22,0,0,0,0,183.22
1,BRYON H. SHORT,STATE REPRESENTATIVE DISTRICT 7,D,56.9,1,2010,1001546,0,7375,11806.6,0,2539.88,1800,2700,26221.48,126.23,1300,0,2416.01,151,37742.26,6308.23,500,1348.68,0,49892.41
0,JUDITH TRAVIS,STATE REPRESENTATIVE DISTRICT 7,R,41.3,0,2010,1002209,0,500,1250,0,0,2230,1200,5180,833,155,2358.56,615.62,4895.04,1823,7403.72,0,0,0,18083.94
0,SCOTT GESTY,STATE REPRESENTATIVE DISTRICT 7,O,1.8,0,2010,1004387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,S. QUINTON JOHNSON,STATE REPRESENTATIVE DISTRICT 8,D,63.2,1,2010,1001763,0,7695.89,14169.28,0,4376.92,2200,1861.5,30303.59,0,500,6251.42,1325,17514.94,14268.69,518,0,300,0,40678.05
0,KATHLEEN ROKOSZ,STATE REPRESENTATIVE DISTRICT 8,R,36.8,0,2010,1002300,0,1300,1575,0,350,1250,0,4475,833,101.84,0,140.46,2233.4,5258.84,993.63,0,0,0,9561.17
0,REBECCA WALKER,STATE REPRESENTATIVE DISTRICT 9,D,51.3,1,2010,1001468,0,8550,15500,0,1775,2850,200,28875,0,300,200,3658.72,1548.41,2112.2,3369.36,0,0,0,11188.69
0,JOHN MARINO,STATE REPRESENTATIVE DISTRICT 9,R,48.7,0,2010,1002318,0,8635,7050,0,2820,3000,450,21955,0,0,3154.91,329.45,0,30869.53,0,0,500,0,34853.89
0,JOHN MARINO,STATE REPRESENTATIVE DISTRICT 9,R,48.7,0,2010,1003800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,DENNIS E. WILLIAMS,STATE REPRESENTATIVE DISTRICT 10,D,54.6,1,2010,1001776,10000,5500,19152.65,0,180,5100,600,40532.65,0,833,819.49,776.9,1436.8,8072.05,22559.76,85.1,1147.65,0,35730.75
0,ROBERT M. RHODUNDA,STATE REPRESENTATIVE DISTRICT 10,R,45.4,0,2010,1002293,0,3000,8650,0,0,1100,250,13000,833,0,4880.88,5708.73,1583.44,7678.86,3879.6,0,0,0,24564.51
1,GREGORY F. LAVELLE,STATE REPRESENTATIVE DISTRICT 11,R,61,1,2010,1000754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,GREGORY F. LAVELLE,STATE REPRESENTATIVE DISTRICT 11,R,61,1,2010,1000196,0,5650,38075,0,350,0,2250,46325,833,12000,8192,20300,5810,20568.54,0,0,0,0,67703.54
0,JOSHUA SAMUEL SCHOENBERG,STATE REPRESENTATIVE DISTRICT 11,D,39,0,2010,1002356,0,2300,6900,0,50,600,2300,12150,0,750,0,2254.5,918,3260,2689.15,1036.46,163.25,0,11071.36
1,DEBORAH D. HUDSON,STATE REPRESENTATIVE DISTRICT 12,R,88.8,1,2010,1000039,0,3050,5775,0,319.4,0,0,9144.4,833,3350,120,2550.5,4106.04,6683.5,863.08,668.47,84,0,19258.59
0,JAMES E. CHRISTINA,STATE REPRESENTATIVE DISTRICT 12,O,11.2,0,2010,1002790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JOHN L. MITCHELL JR.,STATE REPRESENTATIVE DISTRICT 13,D,90.8,1,2010,1001316,0,800,1300,0,700,0,1150,3950,0,800,0,2780.06,88,5299.5,371,0,0,0,9338.56
1,PETER C. SCHWARTZKOPF,STATE REPRESENTATIVE DISTRICT 14,D,53.7,1,2010,1000275,0,13379.26,14975,0,1100,725,2000,32179.26,150,6750,1631.76,6678.86,3252,8932.23,3417.9,477.33,112.48,0,31402.56
0,CHRISTOPHER J. WEEKS,STATE REPRESENTATIVE DISTRICT 14,R,46.3,0,2010,1002221,0,6614,10329.37,0,950,1200,0,19093.37,4726.44,1949.59,1334,2248.11,250,4585.16,13407.79,3874.27,50,0,32425.36
1,VALERIE LONGHURST,STATE REPRESENTATIVE DISTRICT 15,D,70.7,1,2010,1000298,0,0,3700,0,300,0,0,4000,0,280,833,1822,560,1472.99,1268.98,114.4,0,0,6351.37
0,JAMES VAN HOUTEN,STATE REPRESENTATIVE DISTRICT 15,R,27.8,0,2010,1002231,0,0,300,0,0,600,0,900,833,92,0,100,0,1491.22,0,0,253.29,0,2769.51
0,GEORGE EDWARD BARNETT,STATE REPRESENTATIVE DISTRICT 15,O,1.5,0,2010,1002317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,JAMES JOHNSON,STATE REPRESENTATIVE DISTRICT 16,D,100,1,2010,1000396,0,400,6950,0,600,300,0,8250,50,1100,150,2416.6,1248,1775,1157.98,0,1800,0,9697.58
1,MICHAEL MULROONEY,STATE REPRESENTATIVE DISTRICT 17,D,100,1,2010,1000120,0,800,2950,0,100,0,0,3850,1276.3,1600,2279.36,1087.9,980,1750,0,0,0,0,8973.56
1,MICHAEL A. BARBIERI,STATE REPRESENTATIVE DISTRICT 18,D,53,1,2010,1001400,0,2101,2400,0,800,0,1650,6951,0,0,0,2522.54,1307.44,16900.65,1806.93,0,2060,0,24597.56
0,TERRY R. SPENCE,STATE REPRESENTATIVE DISTRICT 18,R,47,0,2010,1000045,0,10550,4150,0,0,1200,2150,18050,0,0,4577.11,0,0,5798.7,801,0,2910.66,0,14087.47
1,ROBERT F. GILLIGAN,STATE REPRESENTATIVE DISTRICT 19,D,73.4,1,2010,1000046,0,2100,4547,0,75,0,0,6722,0,2400,3061.32,8071.74,5186.01,6612,6609.08,2437,0,0,34377.15
0,VINCENT RUFF,STATE REPRESENTATIVE DISTRICT 19,R,26.6,0,2010,1002358,0,0,0,0,0,0,0,0,0,2461.5,0,0,0,0,0,0,0,0,2461.5
1,NICK T. MANOLAKOS,STATE REPRESENTATIVE DISTRICT 20,R,62.5,1,2010,1001452,0,1100,4750,0,2256.07,1000,0,9106.07,0,250,150,1285.83,3823.32,2973.91,1645.88,0,0,0,10128.94
0,FRANCIS J. SWIFT JR.,STATE REPRESENTATIVE DISTRICT 20,D,37.5,0,2010,1002258,0,0,900,0,147,0,1000,2047,0,0,0,130,252,1405,525,0,0,0,2312
1,MICHAEL RAMONE,STATE REPRESENTATIVE DISTRICT 21,R,100,1,2010,1001285,0,1475,900,0,0,600,500,3475,833,2150,1714.55,2510.33,1556,4283.6,2367.74,0,0,0,15415.22
1,JOSEPH E. MIRO,STATE REPRESENTATIVE DISTRICT 22,R,67.3,1,2010,1000070,0,4450,3050,0,730,0,1500,9730,0,1650,3509.98,1016.84,2434.42,787.25,2454.08,0,0,0,11852.57
0,DAVID E. ELLIS,STATE REPRESENTATIVE DISTRICT 22,D,32.7,0,2010,1002109,0,500,28000,0,25.97,600,600,29725.97,913,0,1434,1047.07,0,11892.86,234.64,0,0,0,15521.57
0,DAVID E. ELLIS,STATE REPRESENTATIVE DISTRICT 22,D,32.7,0,2010,1001506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,TERESA L. SCHOOLEY,STATE REPRESENTATIVE DISTRICT 23,D,68.4,1,2010,1000335,0,1610,5172,0,2080,800,400,10062,1705,1800,7177.11,2195.86,2463.39,4465,1262.87,0,0,0,21069.23
0,WILLIAM R. STRITZINGER,STATE REPRESENTATIVE DISTRICT 23,R,31.6,0,2010,1002332,0,2820,850,0,1000,1350,2150,8170,0,0,320.43,435,0,11739.4,2441.28,0,561,0,15497.11
0,EDWARD S. OSIENSKI,STATE REPRESENTATIVE DISTRICT 24,D,68.4,1,2010,1002132,0,2250,31050,0,2380,3000,850,39530,0,350,833,1333.74,4759.86,8272.51,3365,980,875,0,20769.11
0,ABRAHAM H. JONES,STATE REPRESENTATIVE DISTRICT 24,R,31.6,0,2010,1002322,0,0,0,0,505,600,0,1105,0,0,0,0,0,1221.74,0,0,0,0,1221.74
1,JOHN A. KOWALKO JR.,STATE REPRESENTATIVE DISTRICT 25,D,65.5,1,2010,1000444,0,2800,3198,0,1620,600,1200,9418,0,600,952,1663.06,4428,641,6077,0,0,0,14361.06
0,GORDON WINEGAR,STATE REPRESENTATIVE DISTRICT 25,R,34.5,0,2010,1002311,0,600,1990,0,0,2400,0,4990,0,0,0,595.78,149.04,9333.77,1950.6,0,0,0,12029.19
1,JOHN J. VIOLA,STATE REPRESENTATIVE DISTRICT 26,D,96.7,1,2010,1000122,0,2800,5175,0,0,0,0,7975,0,750,0,2025,840,933,886,136,0,0,5570
0,HANS-ERIK JANCO,STATE REPRESENTATIVE DISTRICT 26,R,3.3,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HANS-ERIK JANCO,STATE REPRESENTATIVE DISTRICT 26,R,3.3,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,HANS-ERIK JANCO,STATE REPRESENTATIVE DISTRICT 26,R,3.3,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JOSEPH O'LEARY,SHERIFF (N),O,4.6,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JOSEPH O'LEARY,SHERIFF (N),O,4.6,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,JOSEPH O'LEARY,SHERIFF (N),O,4.6,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,W. G. EDMANSON,LEVY COURT AT LARGE (K),R,43.3,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,W. G. EDMANSON,LEVY COURT AT LARGE (K),R,43.3,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,W. G. EDMANSON,LEVY COURT AT LARGE (K),R,43.3,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,EARL G. JAQUES JR.,STATE REPRESENTATIVE DISTRICT 27,D,64.9,1,2010,1001341,0,6280,8250,0,2270,600,2400,19800,0,0,0,2528.85,2642.66,22629.92,0,0,0,0,27801.43
0,JAY GALLOWAY,STATE REPRESENTATIVE DISTRICT 27,R,35.1,0,2010,1002263,0,1900,1700,0,0,1150,0,4750,833,0,428.19,174,105,7547.83,447.23,0,0,0,9535.25
1,WILLIAM J. CARSON JR.,STATE REPRESENTATIVE DISTRICT 28,D,67.7,1,2010,1001609,0,500,7470,0,0,0,250,8220,3026.4,0,228.94,3771.88,840,2837.15,990,622.83,0,0,12317.2
0,KAREN MINNER,STATE REPRESENTATIVE DISTRICT 28,R,32.3,0,2010,1002299,0,0,0,0,100,0,0,100,0,0,0,22,0,0,1312.25,0,0,0,1334.25
0,LINCOLN D. WILLIS,STATE REPRESENTATIVE DISTRICT 29,R,58.5,1,2010,1002130,0,41725,11116.97,0,5683.84,2200,4200,64925.81,834,800,1731.63,10628.85,7230.93,11492.11,8648.75,544.75,24.99,0,41936.01
0,JOHN W. MCCUTCHAN,STATE REPRESENTATIVE DISTRICT 29,D,41.5,0,2010,1002237,0,200,4000,0,400,0,0,4600,834,0,0,1237.47,0,4243.96,122.5,636.97,0,0,7074.9
1,WILLIAM R. OUTTEN,STATE REPRESENTATIVE DISTRICT 30,R,100,1,2010,1000413,0,600,1050,0,300,0,0,1950,0,0,0,1647,880,3047.76,0,0,0,0,5574.76
1,DARRYL M. SCOTT,STATE REPRESENTATIVE DISTRICT 31,D,59.1,1,2010,1001596,0,6123.26,6400,0,3057.8,3800,1500,20881.06,0,1185.6,620.98,2602.04,1819.29,29619.46,5889.26,82,1040,0,42858.63
0,RONALD SMITH,STATE REPRESENTATIVE DISTRICT 31,R,40.9,0,2010,1000091,0,10225,5491.26,0,3119,1775,2550,23160.26,834,1698.28,150,1053.03,1792.8,22251.42,2270.34,0,150,0,30199.87
1,E. BRADFORD BENNETT,STATE REPRESENTATIVE DISTRICT 32,D,50.2,1,2010,1001491,0,3000,3000,0,2850,150,350,9350,0,600,0,1219.75,1334.74,7434.75,805.24,0,0,0,11394.48
0,BETH B. MILLER,STATE REPRESENTATIVE DISTRICT 32,R,43.7,0,2010,1002284,0,6225,5885,0,75,1750,0,13935,0,0,500,0,257.16,1200,1897.67,0,0,0,3854.83
0,WILLIAM MCVAY,STATE REPRESENTATIVE DISTRICT 32,O,6.1,0,2010,1002243,0,0,0,0,100,0,0,100,0,0,0,800,0,12347.63,281.18,0,0,0,13428.81
0,WILLIAM MCVAY,STATE REPRESENTATIVE DISTRICT 32,O,6.1,0,2010,1002243,0,0,0,0,100,0,0,100,0,0,0,800,0,12347.63,281.18,0,0,0,13428.81
